epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,6157.85,0.01603,1.1901,1.4635,0.96447,0.92376,0.96018,0.68466,0.01649,0.78635,1.38594,0.000553933,0.000553933,0.000553933
111,6213.99,0.0159,1.15051,1.45501,0.97739,0.91682,0.96093,0.69386,0.01615,0.76816,1.36671,0.000540667,0.000540667,0.000540667
112,6269.81,0.0159,1.17929,1.45379,0.96938,0.92817,0.96467,0.6889,0.01613,0.76649,1.3622,0.0005274,0.0005274,0.0005274
113,6326.74,0.01602,1.17622,1.46528,0.96426,0.93006,0.96233,0.685,0.01642,0.77551,1.38477,0.000514133,0.000514133,0.000514133
114,6382.9,0.01574,1.15418,1.45773,0.9695,0.9206,0.96284,0.68932,0.01626,0.76525,1.37614,0.000500867,0.000500867,0.000500867
115,6439.22,0.01597,1.15435,1.45885,0.96834,0.92505,0.96436,0.6867,0.01628,0.77037,1.37547,0.0004876,0.0004876,0.0004876
116,6494.25,0.01596,1.17252,1.45772,0.97191,0.91682,0.9601,0.686,0.01632,0.79787,1.3811,0.000474333,0.000474333,0.000474333
117,6548.93,0.01576,1.13414,1.44667,0.95216,0.94052,0.96599,0.68227,0.01656,0.7988,1.39179,0.000461067,0.000461067,0.000461067
118,6604.94,0.01575,1.15176,1.43795,0.95952,0.93573,0.96342,0.68422,0.01637,0.79642,1.38168,0.0004478,0.0004478,0.0004478
119,6660.59,0.01567,1.13608,1.45175,0.94808,0.93195,0.96028,0.68809,0.01642,0.79223,1.37948,0.000434533,0.000434533,0.000434533
120,6715.85,0.01586,1.1352,1.45917,0.9666,0.93006,0.96118,0.68831,0.0163,0.77217,1.36551,0.000421267,0.000421267,0.000421267
121,6772.3,0.01571,1.12579,1.43891,0.97189,0.93006,0.96444,0.68401,0.01634,0.7554,1.3713,0.000408,0.000408,0.000408
122,6827.5,0.01573,1.1402,1.44357,0.96805,0.93006,0.96335,0.68977,0.01633,0.7656,1.3746,0.000394733,0.000394733,0.000394733
123,6882.84,0.01563,1.15572,1.44092,0.96668,0.93232,0.96608,0.69048,0.01624,0.76909,1.36513,0.000381467,0.000381467,0.000381467
124,6939.07,0.01574,1.1515,1.45178,0.97482,0.92439,0.96545,0.68573,0.01637,0.7804,1.37594,0.0003682,0.0003682,0.0003682
125,6994.62,0.01562,1.11721,1.43886,0.95386,0.93796,0.96507,0.68396,0.01638,0.78378,1.37884,0.000354933,0.000354933,0.000354933
126,7050.02,0.0155,1.10933,1.42862,0.97544,0.91493,0.96084,0.68706,0.01639,0.79264,1.38155,0.000341667,0.000341667,0.000341667
127,7105.91,0.01555,1.13577,1.44233,0.96653,0.92799,0.96302,0.68627,0.01626,0.7722,1.37105,0.0003284,0.0003284,0.0003284
128,7161.42,0.0156,1.11739,1.44638,0.96887,0.92439,0.96346,0.68708,0.01633,0.79778,1.37581,0.000315133,0.000315133,0.000315133
129,7218.02,0.01563,1.11996,1.42703,0.95739,0.93433,0.96296,0.68458,0.01639,0.78797,1.37716,0.000301867,0.000301867,0.000301867
130,7274.2,0.01552,1.11931,1.43411,0.96477,0.93193,0.96304,0.68858,0.0163,0.77317,1.3751,0.0002886,0.0002886,0.0002886
131,7331.12,0.01546,1.12171,1.43211,0.96653,0.92792,0.96125,0.68836,0.01623,0.77755,1.37467,0.000275333,0.000275333,0.000275333
